,USAGE,season,period,cost,storage_available,inverter_to_storage,storage_to_inverter,inverter_to_demand,grid_to_inverter,grid_to_demand_peak,grid_to_demand_offpeak
2011-01-01 08:00:00,1.002,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.002
2011-01-01 09:00:00,0.867,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.867
2011-01-01 10:00:00,0.787,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.787
2011-01-01 11:00:00,0.721,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.721
2011-01-01 12:00:00,0.75,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.75
2011-01-01 13:00:00,0.872,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.872
2011-01-01 14:00:00,0.868,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.868
2011-01-01 15:00:00,0.892,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.892
2011-01-01 16:00:00,1.008,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.008
2011-01-01 17:00:00,1.129,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.129
2011-01-01 18:00:00,1.107,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.107
2011-01-01 19:00:00,1.103,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.103
2011-01-01 20:00:00,1.075,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.075
2011-01-01 21:00:00,1.061,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.061
2011-01-01 22:00:00,0.9490000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.9490000000000001
2011-01-01 23:00:00,0.9530000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.9530000000000001
2011-01-02 00:00:00,1.057,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.057
2011-01-02 01:00:00,1.449,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.449
2011-01-02 02:00:00,1.5090000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.5090000000000001
2011-01-02 03:00:00,1.446,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.446
2011-01-02 04:00:00,1.4000000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001
2011-01-02 05:00:00,1.2650000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.2650000000000001
2011-01-02 06:00:00,1.043,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.043
2011-01-02 07:00:00,0.864,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.864
2011-01-02 08:00:00,0.853,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.853
2011-01-02 09:00:00,0.762,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.762
2011-01-02 10:00:00,0.749,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.749
2011-01-02 11:00:00,0.716,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.716
2011-01-02 12:00:00,0.704,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.704
2011-01-02 13:00:00,0.794,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.794
2011-01-02 14:00:00,0.926,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.926
2011-01-02 15:00:00,1.041,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.041
2011-01-02 16:00:00,1.111,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.111
2011-01-02 17:00:00,1.193,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.193
2011-01-02 18:00:00,1.182,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.182
2011-01-02 19:00:00,1.149,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.149
2011-01-02 20:00:00,1.111,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.111
2011-01-02 21:00:00,1.014,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.014
2011-01-02 22:00:00,0.967,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,0.967
2011-01-02 23:00:00,1.0050000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.0050000000000001
2011-01-03 00:00:00,1.09,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.09
2011-01-03 01:00:00,1.405,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.405
2011-01-03 02:00:00,1.5,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.5
2011-01-03 03:00:00,1.4040000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.4040000000000001
2011-01-03 04:00:00,1.314,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.314
2011-01-03 05:00:00,1.247,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.247
2011-01-03 06:00:00,1.089,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.089
2011-01-03 07:00:00,0.924,non_summer,peak,0.18266,1.0,0.0,0.68,0.5780000000000001,0.0,0.346,0.0
2011-01-03 08:00:00,0.808,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.808,0.0
2011-01-03 09:00:00,0.748,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.748,0.0
2011-01-03 10:00:00,0.714,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.714,0.0
2011-01-03 11:00:00,0.6900000000000001,non_summer,offpeak,0.05209,0.2,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.6900000000000001
2011-01-03 12:00:00,0.711,non_summer,offpeak,0.05209,0.325,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.711
2011-01-03 13:00:00,0.8290000000000001,non_summer,offpeak,0.05209,0.45,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.8290000000000001
2011-01-03 14:00:00,0.964,non_summer,offpeak,0.05209,0.575,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.964
2011-01-03 15:00:00,0.962,non_summer,offpeak,0.05209,0.7,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.962
2011-01-03 16:00:00,1.05,non_summer,offpeak,0.05209,0.825,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.05
2011-01-03 17:00:00,1.096,non_summer,peak,0.18266,0.95,0.0,0.6375,0.541875,0.0,0.5541250000000001,0.0
2011-01-03 18:00:00,1.111,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,1.111,0.0
2011-01-03 19:00:00,1.127,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,1.127,0.0
2011-01-03 20:00:00,1.165,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,1.165,0.0
2011-01-03 21:00:00,1.055,non_summer,offpeak,0.05209,0.2,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.055
2011-01-03 22:00:00,1.0070000000000001,non_summer,offpeak,0.05209,0.325,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.0070000000000001
2011-01-03 23:00:00,0.982,non_summer,offpeak,0.05209,0.45,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.982
2011-01-04 00:00:00,1.057,non_summer,offpeak,0.05209,0.575,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.057
2011-01-04 01:00:00,1.399,non_summer,offpeak,0.05209,0.7,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.399
2011-01-04 02:00:00,1.532,non_summer,offpeak,0.05209,0.825,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.532
2011-01-04 03:00:00,1.444,non_summer,offpeak,0.05209,0.95,0.05882352941176476,0.0,0.0,0.06920415224913501,0.0,1.444
2011-01-04 04:00:00,1.445,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.445
2011-01-04 05:00:00,1.2750000000000001,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.2750000000000001
2011-01-04 06:00:00,1.04,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.04
2011-01-04 07:00:00,0.843,non_summer,peak,0.18266,1.0,0.0,0.68,0.5780000000000001,0.0,0.2649999999999999,0.0
2011-01-04 08:00:00,0.706,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.706,0.0
2011-01-04 09:00:00,0.663,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.663,0.0
2011-01-04 10:00:00,0.664,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.664,0.0
2011-01-04 11:00:00,0.666,non_summer,offpeak,0.05209,0.2,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.666
2011-01-04 12:00:00,0.726,non_summer,offpeak,0.05209,0.325,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.726
2011-01-04 13:00:00,0.871,non_summer,offpeak,0.05209,0.45,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.871
2011-01-04 14:00:00,0.999,non_summer,offpeak,0.05209,0.575,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.999
2011-01-04 15:00:00,1.059,non_summer,offpeak,0.05209,0.7,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.059
2011-01-04 16:00:00,1.0210000000000001,non_summer,offpeak,0.05209,0.825,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.0210000000000001
2011-01-04 17:00:00,0.987,non_summer,peak,0.18266,0.95,0.0,0.6375,0.541875,0.0,0.445125,0.0
2011-01-04 18:00:00,0.965,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.965,0.0
2011-01-04 19:00:00,0.9550000000000001,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.9550000000000001,0.0
2011-01-04 20:00:00,0.934,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.934,0.0
2011-01-04 21:00:00,0.9,non_summer,offpeak,0.05209,0.2,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.9
2011-01-04 22:00:00,0.851,non_summer,offpeak,0.05209,0.325,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.851
2011-01-04 23:00:00,0.865,non_summer,offpeak,0.05209,0.45,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.865
2011-01-05 00:00:00,0.963,non_summer,offpeak,0.05209,0.575,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.963
2011-01-05 01:00:00,1.2790000000000001,non_summer,offpeak,0.05209,0.7,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.2790000000000001
2011-01-05 02:00:00,1.472,non_summer,offpeak,0.05209,0.825,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.472
2011-01-05 03:00:00,1.458,non_summer,offpeak,0.05209,0.95,0.05882352941176476,0.0,0.0,0.06920415224913501,0.0,1.458
2011-01-05 04:00:00,1.354,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.354
2011-01-05 05:00:00,1.2,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.2
2011-01-05 06:00:00,1.014,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.014
2011-01-05 07:00:00,0.869,non_summer,peak,0.18266,1.0,0.0,0.68,0.5780000000000001,0.0,0.2909999999999999,0.0
2011-01-05 08:00:00,0.758,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.758,0.0
2011-01-05 09:00:00,0.7030000000000001,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.7030000000000001,0.0
2011-01-05 10:00:00,0.6890000000000001,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.6890000000000001,0.0
2011-01-05 11:00:00,0.664,non_summer,offpeak,0.05209,0.2,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.664
2011-01-05 12:00:00,0.713,non_summer,offpeak,0.05209,0.325,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.713
2011-01-05 13:00:00,0.904,non_summer,offpeak,0.05209,0.45,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.904
2011-01-05 14:00:00,1.07,non_summer,offpeak,0.05209,0.575,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.07
2011-01-05 15:00:00,1.085,non_summer,offpeak,0.05209,0.7,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.085
2011-01-05 16:00:00,0.9400000000000001,non_summer,offpeak,0.05209,0.825,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.9400000000000001
2011-01-05 17:00:00,0.92,non_summer,peak,0.18266,0.95,0.0,0.6375,0.541875,0.0,0.37812500000000004,0.0
2011-01-05 18:00:00,0.92,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.92,0.0
2011-01-05 19:00:00,0.851,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.851,0.0
2011-01-05 20:00:00,0.847,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.847,0.0
2011-01-05 21:00:00,0.81,non_summer,offpeak,0.05209,0.2,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.81
2011-01-05 22:00:00,0.785,non_summer,offpeak,0.05209,0.325,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.785
2011-01-05 23:00:00,0.801,non_summer,offpeak,0.05209,0.45,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.801
2011-01-06 00:00:00,0.906,non_summer,offpeak,0.05209,0.575,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,0.906
2011-01-06 01:00:00,1.311,non_summer,offpeak,0.05209,0.7,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.311
2011-01-06 02:00:00,1.429,non_summer,offpeak,0.05209,0.825,0.14705882352941177,0.0,0.0,0.17301038062283738,0.0,1.429
2011-01-06 03:00:00,1.383,non_summer,offpeak,0.05209,0.95,0.05882352941176476,0.0,0.0,0.06920415224913501,0.0,1.383
2011-01-06 04:00:00,1.36,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.36
2011-01-06 05:00:00,1.161,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.161
2011-01-06 06:00:00,1.025,non_summer,offpeak,0.05209,1.0,0.0,0.0,0.0,0.0,0.0,1.025
2011-01-06 07:00:00,0.8210000000000001,non_summer,peak,0.18266,1.0,0.0,0.68,0.5780000000000001,0.0,0.243,0.0
2011-01-06 08:00:00,0.705,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.705,0.0
2011-01-06 09:00:00,0.652,non_summer,peak,0.18266,0.2,0.0,0.0,0.0,0.0,0.652,0.0
