,USAGE,season,period,cost,storage_available,inverter_to_storage,storage_to_inverter,inverter_to_demand,grid_to_inverter,grid_to_demand_peak,grid_to_demand_offpeak
2011-01-01 08:00:00,1.002,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.002
2011-01-01 09:00:00,0.867,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.867
2011-01-01 10:00:00,0.787,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.787
2011-01-01 11:00:00,0.721,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.721
2011-01-01 12:00:00,0.75,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.75
2011-01-01 13:00:00,0.872,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.872
2011-01-01 14:00:00,0.868,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.868
2011-01-01 15:00:00,0.892,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.892
2011-01-01 16:00:00,1.008,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.008
2011-01-01 17:00:00,1.129,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.129
2011-01-01 18:00:00,1.107,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.107
2011-01-01 19:00:00,1.103,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.103
2011-01-01 20:00:00,1.075,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.075
2011-01-01 21:00:00,1.061,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.061
2011-01-01 22:00:00,0.9490000000000001,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.9490000000000001
2011-01-01 23:00:00,0.9530000000000001,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,0.9530000000000001
2011-01-02 00:00:00,1.057,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.057
2011-01-02 01:00:00,1.449,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.449
2011-01-02 02:00:00,1.5090000000000001,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.5090000000000001
2011-01-02 03:00:00,1.446,non_summer,offpeak,0.05209,10.0,0.0,0.0,0.0,0.0,0.0,1.446
